,,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA,xG+xA,npxG,npxG+xA,Matches
1,Kylian Mbappé\Kylian-Mbappe,fr FRA,FW,Paris S-G,fr Ligue 1,20,1998,20,17,1513,18,5,0,0,0,0,1.07,0.30,1.37,1.07,1.37,16.8,16.8,8.6,1.00,0.51,1.51,1.00,1.51,Matches
2,Robert Lewandowski\Robert-Lewandowski,pl POL,FW,Bayern Munich,de Bundesliga,30,1988,27,27,2399,29,3,4,4,4,0,1.09,0.11,1.20,0.94,1.05,23.9,20.9,5.7,0.90,0.21,1.11,0.78,1.00,Matches
3,Gabriel Jesus\Gabriel-Jesus,br BRA,FW,Manchester City,eng Premier League,22,1997,24,13,1343,10,4,0,1,2,0,0.67,0.27,0.94,0.67,0.94,13.2,12.4,1.4,0.88,0.09,0.98,0.83,0.93,Matches
4,Neymar\Neymar,br BRA,MFFW,Paris S-G,fr Ligue 1,27,1992,15,15,1318,13,6,4,5,4,1,0.89,0.41,1.30,0.61,1.02,13.0,9.2,6.1,0.88,0.41,1.30,0.62,1.04,Matches
5,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,31,1988,22,17,1397,16,3,2,3,1,0,1.03,0.19,1.22,0.90,1.10,13.3,11.0,2.5,0.85,0.16,1.02,0.71,0.87,Matches
6,Ciro Immobile\Ciro-Immobile,it ITA,FW,Lazio,it Serie A,29,1990,26,25,2181,27,7,10,11,4,0,1.11,0.29,1.40,0.70,0.99,18.8,10.2,5.2,0.77,0.22,0.99,0.42,0.64,Matches
7,Cristiano Ronaldo\Cristiano-Ronaldo,pt POR,FW,Juventus,it Serie A,34,1985,22,22,1944,21,3,7,7,2,0,0.97,0.14,1.11,0.65,0.79,16.1,10.8,3.2,0.75,0.15,0.89,0.50,0.65,Matches
8,Timo Werner\Timo-Werner,de GER,FW,RB Leipzig,de Bundesliga,23,1996,29,28,2390,25,7,3,3,4,0,0.94,0.26,1.21,0.83,1.09,19.8,17.5,7.9,0.74,0.30,1.04,0.66,0.96,Matches
9,Islam Slimani\Islam-Slimani,dz ALG,FW,Monaco,fr Ligue 1,31,1988,18,14,1285,9,7,1,1,5,1,0.63,0.49,1.12,0.56,1.05,10.2,9.5,4.1,0.72,0.29,1.01,0.66,0.95,Matches
10,Mauro Icardi\Mauro-Icardi,ar ARG,FW,Paris S-G,fr Ligue 1,26,1993,20,14,1267,12,2,0,0,0,0,0.85,0.14,0.99,0.85,0.99,9.9,9.9,2.9,0.71,0.20,0.91,0.71,0.91,Matches
11,Luis Suárez\Luis-Suarez,uy URU,FW,Barcelona,es La Liga,32,1987,17,15,1276,11,7,1,1,4,0,0.78,0.49,1.27,0.71,1.20,9.7,9.0,2.8,0.68,0.19,0.88,0.64,0.83,Matches
12,Marcus Rashford\Marcus-Rashford,eng ENG,FW,Manchester Utd,eng Premier League,21,1997,22,22,1875,14,4,5,7,2,0,0.67,0.19,0.86,0.43,0.62,13.6,8.3,2.7,0.65,0.13,0.78,0.40,0.53,Matches
13,Lionel Messi\Lionel-Messi,ar ARG,FW,Barcelona,es La Liga,32,1987,22,21,1890,19,12,3,3,3,0,0.90,0.57,1.48,0.76,1.33,13.5,11.2,9.9,0.64,0.47,1.12,0.53,1.01,Matches
14,Lautaro Martínez\Lautaro-Martinez,ar ARG,FW,Inter,it Serie A,21,1997,22,20,1663,11,1,2,2,6,1,0.60,0.05,0.65,0.49,0.54,11.3,9.8,1.7,0.61,0.09,0.70,0.53,0.62,Matches
15,Edin Džeko\Edin-Dzeko,ba BIH,FW,Roma,it Serie A,33,1986,25,23,2123,12,4,0,0,4,0,0.51,0.17,0.68,0.51,0.68,14.2,14.2,3.2,0.60,0.14,0.74,0.60,0.74,Matches
16,Álvaro Morata\Alvaro-Morata,es ESP,FW,Atlético Madrid,es La Liga,26,1992,23,19,1619,8,1,1,2,5,1,0.44,0.06,0.50,0.39,0.44,10.7,9.1,3.2,0.59,0.18,0.77,0.51,0.69,Matches
17,Victor Osimhen\Victor-Osimhen,ng NGA,FW,Lille,fr Ligue 1,20,1998,27,25,2287,13,4,2,3,4,0,0.51,0.16,0.67,0.43,0.59,15.0,12.7,2.9,0.59,0.11,0.70,0.50,0.61,Matches
18,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,eng Premier League,22,1997,27,22,1909,13,1,0,0,7,0,0.61,0.05,0.66,0.61,0.66,12.3,12.3,0.9,0.58,0.04,0.63,0.58,0.63,Matches
19,Romelu Lukaku\Romelu-Lukaku,be BEL,FW,Inter,it Serie A,26,1993,25,24,2138,17,2,4,4,2,0,0.72,0.08,0.80,0.55,0.63,13.8,10.7,3.7,0.58,0.15,0.73,0.45,0.61,Matches
20,Mohamed Salah\Mohamed-Salah,eg EGY,FW,Liverpool,eng Premier League,27,1992,26,26,2239,16,6,3,3,1,0,0.64,0.24,0.88,0.52,0.76,14.5,12.3,5.7,0.58,0.23,0.81,0.49,0.72,Matches
21,Jamie Vardy\Jamie-Vardy,eng ENG,FW,Leicester City,eng Premier League,32,1987,26,25,2223,19,4,4,5,2,0,0.77,0.16,0.93,0.61,0.77,14.2,10.4,3.4,0.58,0.14,0.71,0.42,0.56,Matches
22,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,25,23,1932,13,3,0,0,2,0,0.61,0.14,0.75,0.61,0.75,12.2,12.2,2.3,0.57,0.11,0.67,0.57,0.67,Matches
23,Wissam Ben Yedder\Wissam-Ben-Yedder,fr FRA,FW,Monaco,fr Ligue 1,28,1990,26,25,2164,18,4,3,3,1,0,0.75,0.17,0.91,0.62,0.79,13.5,11.2,7.1,0.56,0.30,0.86,0.47,0.76,Matches
24,Marco Reus\Marco-Reus,de GER,MFFW,Dortmund,de Bundesliga,30,1989,19,18,1495,11,5,1,1,1,0,0.66,0.30,0.96,0.60,0.90,9.3,8.6,2.3,0.56,0.14,0.70,0.52,0.65,Matches
25,Josip Iličić\Josip-Ilicic,si SVN,FW,Atalanta,it Serie A,31,1988,21,19,1482,15,5,0,0,1,1,0.91,0.30,1.21,0.91,1.21,9.1,9.1,6.8,0.55,0.41,0.96,0.55,0.96,Matches
26,Fabio Quagliarella\Fabio-Quagliarella,it ITA,FW,Sampdoria,it Serie A,36,1983,21,21,1808,9,2,5,6,2,0,0.45,0.10,0.55,0.20,0.30,11.0,6.4,2.4,0.55,0.12,0.66,0.32,0.44,Matches
