,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls▼,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Jamie Vardy\Jamie-Vardy,eng ENG,FW,Leicester City,32,1987,26,25,2223,19,4,4,5,2,0,0.77,0.16,0.93,0.61,0.77,14.2,10.4,3.4,0.58,0.14,0.71,0.42,0.56,Matches
2,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,30,1989,26,26,2303,17,1,1,1,3,1,0.66,0.04,0.70,0.63,0.66,11.3,10.5,2.0,0.44,0.08,0.52,0.41,0.49,Matches
3,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,22,17,1397,16,3,2,3,1,0,1.03,0.19,1.22,0.90,1.10,13.3,11.0,2.5,0.85,0.16,1.02,0.71,0.87,Matches
4,Mohamed Salah\Mohamed-Salah,eg EGY,FW,Liverpool,27,1992,26,26,2239,16,6,3,3,1,0,0.64,0.24,0.88,0.52,0.76,14.5,12.3,5.7,0.58,0.23,0.81,0.49,0.72,Matches
5,Danny Ings\Danny-Ings,eng ENG,FW,Southampton,27,1992,29,23,1999,15,1,0,0,2,0,0.68,0.05,0.72,0.68,0.72,11.6,11.6,1.6,0.52,0.07,0.59,0.52,0.59,Matches
6,Sadio Mané\Sadio-Mane,sn SEN,FW,Liverpool,27,1992,26,24,2077,14,7,0,0,2,0,0.61,0.30,0.91,0.61,0.91,11.4,11.4,5.2,0.49,0.22,0.72,0.49,0.72,Matches
7,Marcus Rashford\Marcus-Rashford,eng ENG,FW,Manchester Utd,21,1997,22,22,1875,14,4,5,7,2,0,0.67,0.19,0.86,0.43,0.62,13.6,8.3,2.7,0.65,0.13,0.78,0.40,0.53,Matches
8,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,25,23,1932,13,3,0,0,2,0,0.61,0.14,0.75,0.61,0.75,12.2,12.2,2.3,0.57,0.11,0.67,0.57,0.67,Matches
9,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,22,1997,27,22,1909,13,1,0,0,7,0,0.61,0.05,0.66,0.61,0.66,12.3,12.3,0.9,0.58,0.04,0.63,0.58,0.63,Matches
