,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Leonardo Bonucci\Leonardo-Bonucci,it ITA,DF,32,25,25,2222,3,0,0,0,5,0,0.12,0.00,0.12,0.12,0.12,2.2,2.2,0.4,0.09,0.02,0.11,0.09,0.11,Matches
Cristiano Ronaldo\Cristiano-Ronaldo,pt POR,FW,34,22,22,1944,21,3,7,7,2,0,0.97,0.14,1.11,0.65,0.79,16.1,10.8,3.2,0.75,0.15,0.89,0.50,0.65,Matches
Alex Sandro\Alex-Sandro,br BRA,DF,28,22,22,1887,0,3,0,0,3,0,0.00,0.14,0.14,0.00,0.14,0.4,0.4,2.1,0.02,0.10,0.12,0.02,0.12,Matches
Miralem Pjanić\Miralem-Pjanic,ba BIH,MF,29,22,20,1735,3,2,0,0,7,0,0.16,0.10,0.26,0.16,0.26,0.8,0.8,1.7,0.04,0.09,0.13,0.04,0.13,Matches
Juan Cuadrado\Juan-Cuadrado,co COL,DFFW,31,23,19,1842,1,2,0,0,4,1,0.05,0.10,0.15,0.05,0.15,1.2,1.2,3.3,0.06,0.16,0.22,0.06,0.22,Matches
Wojciech Szczęsny\Wojciech-Szczesny,pl POL,GK,29,19,19,1710,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Blaise Matuidi\Blaise-Matuidi,fr FRA,MF,32,23,18,1617,0,2,0,0,2,0,0.00,0.11,0.11,0.00,0.11,1.0,1.0,1.1,0.06,0.06,0.11,0.06,0.11,Matches
Matthijs de Ligt\Matthijs-de-Ligt,nl NED,DF,19,20,17,1653,2,0,0,0,4,0,0.11,0.00,0.11,0.11,0.11,1.8,1.8,0.1,0.10,0.00,0.10,0.10,0.10,Matches
Paulo Dybala\Paulo-Dybala,ar ARG,FWMF,25,24,17,1521,7,4,1,1,4,0,0.41,0.24,0.65,0.36,0.59,7.1,6.4,4.1,0.42,0.24,0.66,0.38,0.62,Matches
Gonzalo Higuaín\Gonzalo-Higuain,ar ARG,FW,31,23,16,1462,5,4,0,0,2,0,0.31,0.25,0.55,0.31,0.55,7.2,7.2,3.8,0.44,0.24,0.68,0.44,0.68,Matches
Rodrigo Bentancur\Rodrigo-Bentancur,uy URU,MF,22,19,15,1322,0,6,0,0,7,0,0.00,0.41,0.41,0.00,0.41,0.2,0.2,2.7,0.01,0.18,0.20,0.01,0.20,Matches
Adrien Rabiot\Adrien-Rabiot,fr FRA,MF,24,17,11,1108,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.04,0.03,0.07,0.04,0.07,Matches
Federico Bernardeschi\Federico-Bernardeschi,it ITA,MF,25,18,9,797,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,2.5,2.5,1.5,0.28,0.17,0.46,0.28,0.46,Matches
Aaron Ramsey\Aaron-Ramsey,wal WAL,MF,28,15,9,796,3,1,0,0,0,0,0.34,0.11,0.45,0.34,0.45,2.2,2.2,1.6,0.25,0.18,0.43,0.25,0.43,Matches
Sami Khedira\Sami-Khedira,de GER,MF,32,12,9,681,0,1,0,0,3,0,0.00,0.13,0.13,0.00,0.13,1.3,1.3,0.6,0.17,0.08,0.25,0.17,0.25,Matches
Danilo\Danilo,br BRA,DF,28,12,8,774,1,0,0,0,1,0,0.12,0.00,0.12,0.12,0.12,0.4,0.4,0.5,0.05,0.06,0.11,0.05,0.11,Matches
Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,41,7,7,630,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.00,0.03,0.03,0.00,0.03,Matches
Douglas Costa\Douglas-Costa,br BRA,FWMF,28,14,6,518,0,3,0,0,1,0,0.00,0.52,0.52,0.00,0.52,0.7,0.7,2.5,0.11,0.43,0.55,0.11,0.55,Matches
