,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG▼,npxG+xA,Matches
1,Arkadiusz Milik\Arkadiusz-Milik,pl POL,FW,Napoli,25,1994,16,14,1232,9,0,0,0,4,0,0.66,0.00,0.66,0.66,0.66,8.7,8.7,1.7,0.64,0.12,0.76,0.64,0.76,Matches
2,Edin Džeko\Edin-Dzeko,ba BIH,FW,Roma,33,1986,25,23,2123,12,4,0,0,4,0,0.51,0.17,0.68,0.51,0.68,14.2,14.2,3.2,0.60,0.14,0.74,0.60,0.74,Matches
3,Josip Iličić\Josip-Ilicic,si SVN,FW,Atalanta,31,1988,21,19,1482,15,5,0,0,1,1,0.91,0.30,1.21,0.91,1.21,9.1,9.1,6.8,0.55,0.41,0.96,0.55,0.96,Matches
4,Lautaro Martínez\Lautaro-Martinez,ar ARG,FW,Inter,21,1997,22,20,1663,11,1,2,2,6,1,0.60,0.05,0.65,0.49,0.54,11.3,9.8,1.7,0.61,0.09,0.70,0.53,0.62,Matches
5,Cristiano Ronaldo\Cristiano-Ronaldo,pt POR,FW,Juventus,34,1985,22,22,1944,21,3,7,7,2,0,0.97,0.14,1.11,0.65,0.79,16.1,10.8,3.2,0.75,0.15,0.89,0.50,0.65,Matches
6,Joaquín Correa\Joaquin-Correa,ar ARG,FWMF,Lazio,24,1994,22,17,1567,7,1,0,0,0,0,0.40,0.06,0.46,0.40,0.46,8.5,8.5,2.0,0.49,0.12,0.61,0.49,0.61,Matches
7,Mario Balotelli\Mario-Balotelli,it ITA,FW,Brescia,28,1990,19,16,1404,5,0,0,0,6,1,0.32,0.00,0.32,0.32,0.32,7.1,7.1,0.5,0.46,0.03,0.49,0.46,0.49,Matches
8,Romelu Lukaku\Romelu-Lukaku,be BEL,FW,Inter,26,1993,25,24,2138,17,2,4,4,2,0,0.72,0.08,0.80,0.55,0.63,13.8,10.7,3.7,0.58,0.15,0.73,0.45,0.61,Matches
9,Gonzalo Higuaín\Gonzalo-Higuain,ar ARG,FW,Juventus,31,1987,23,16,1462,5,4,0,0,2,0,0.31,0.25,0.55,0.31,0.55,7.2,7.2,3.8,0.44,0.24,0.68,0.44,0.68,Matches
10,Francesco Caputo\Francesco-Caputo,it ITA,FW,Sassuolo,31,1987,23,22,1921,13,4,1,1,2,0,0.61,0.19,0.80,0.56,0.75,10.0,9.3,2.6,0.47,0.12,0.59,0.43,0.56,Matches
11,Ciro Immobile\Ciro-Immobile,it ITA,FW,Lazio,29,1990,26,25,2181,27,7,10,11,4,0,1.11,0.29,1.40,0.70,0.99,18.8,10.2,5.2,0.77,0.22,0.99,0.42,0.64,Matches
12,Mario Pašalić\Mario-Pasalic,hr CRO,MF,Atalanta,24,1995,23,20,1668,5,5,0,0,4,0,0.27,0.27,0.54,0.27,0.54,7.3,7.2,2.1,0.39,0.11,0.51,0.39,0.50,Matches
13,Gianluca Lapadula\Gianluca-Lapadula,it ITA,FW,Lecce,29,1990,19,15,1373,7,0,2,2,7,1,0.46,0.00,0.46,0.33,0.33,7.5,5.9,0.9,0.49,0.06,0.55,0.39,0.45,Matches
14,Paulo Dybala\Paulo-Dybala,ar ARG,FWMF,Juventus,25,1993,24,17,1521,7,4,1,1,4,0,0.41,0.24,0.65,0.36,0.59,7.1,6.4,4.1,0.42,0.24,0.66,0.38,0.62,Matches
15,Gervinho\Gervinho,ci CIV,FW,Parma,32,1987,19,18,1482,5,3,0,1,3,0,0.30,0.18,0.49,0.30,0.49,7.0,6.2,1.7,0.42,0.11,0.53,0.38,0.48,Matches
16,Papu Gómez\Papu-Gomez,ar ARG,MFFW,Atalanta,31,1988,24,23,1894,6,10,0,0,2,0,0.29,0.48,0.76,0.29,0.76,7.3,7.3,6.2,0.35,0.30,0.64,0.35,0.64,Matches
17,Giovanni Simeone\Giovanni-Simeone,ar ARG,FW,Cagliari,24,1995,24,22,1836,6,3,0,0,4,0,0.29,0.15,0.44,0.29,0.44,7.2,7.2,1.8,0.35,0.09,0.44,0.35,0.44,Matches
18,Rodrigo Palacio\Rodrigo-Palacio,ar ARG,FW,Bologna,37,1982,25,21,1912,6,3,0,0,3,0,0.28,0.14,0.42,0.28,0.42,7.0,7.0,4.2,0.33,0.20,0.53,0.33,0.53,Matches
19,Kevin Lasagna\Kevin-Lasagna,it ITA,FW,Udinese,26,1992,25,19,1750,4,0,0,0,1,0,0.21,0.00,0.21,0.21,0.21,6.4,6.4,0.9,0.33,0.05,0.38,0.33,0.38,Matches
20,Lorenzo Insigne\Lorenzo-Insigne,it ITA,FWMF,Napoli,28,1991,25,23,1882,5,5,3,3,1,0,0.24,0.24,0.48,0.10,0.33,8.9,6.6,4.5,0.43,0.22,0.64,0.32,0.53,Matches
21,Fabio Quagliarella\Fabio-Quagliarella,it ITA,FW,Sampdoria,36,1983,21,21,1808,9,2,5,6,2,0,0.45,0.10,0.55,0.20,0.30,11.0,6.4,2.4,0.55,0.12,0.66,0.32,0.44,Matches
22,Manolo Gabbiadini\Manolo-Gabbiadini,it ITA,FW,Sampdoria,27,1991,21,17,1415,6,1,1,1,2,0,0.38,0.06,0.45,0.32,0.38,5.7,4.9,1.5,0.36,0.10,0.46,0.31,0.41,Matches
23,Federico Chiesa\Federico-Chiesa,it ITA,FW,Fiorentina,21,1997,23,23,1936,7,3,1,2,4,0,0.33,0.14,0.46,0.28,0.42,8.1,6.6,2.8,0.38,0.13,0.50,0.30,0.43,Matches
24,Stefano Okaka\Stefano-Okaka,it ITA,FW,Udinese,29,1989,22,20,1730,5,2,0,0,8,0,0.26,0.10,0.36,0.26,0.36,5.8,5.8,1.6,0.30,0.08,0.38,0.30,0.38,Matches
25,Krzysztof Piątek\Krzysztof-Piatek,pl POL,FW,Milan,24,1995,18,14,1183,4,0,3,3,1,0,0.30,0.00,0.30,0.08,0.08,6.2,3.9,0.9,0.47,0.07,0.54,0.30,0.37,Matches
26,Riccardo Orsolini\Riccardo-Orsolini,it ITA,FWMF,Bologna,22,1997,26,24,1972,7,4,0,0,3,0,0.32,0.18,0.50,0.32,0.50,6.4,6.4,5.3,0.29,0.24,0.54,0.29,0.54,Matches
27,Andrea Belotti\Andrea-Belotti,it ITA,FW,Torino,25,1993,23,22,1915,9,2,5,5,3,0,0.42,0.09,0.52,0.19,0.28,9.8,6.2,2.9,0.46,0.13,0.59,0.29,0.42,Matches
28,Domenico Berardi\Domenico-Berardi,it ITA,FW,Sassuolo,24,1994,20,19,1606,9,5,0,1,4,1,0.50,0.28,0.78,0.50,0.78,6.0,5.2,3.8,0.34,0.21,0.55,0.29,0.51,Matches
