,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Receiving,Receiving,Receiving,,
Squad,# Pl,Poss▼,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos
Inter,22,60.1,8.0,5843,446,1414,3013,1839,254,5496,64,120,53.3,68,6,3991,22656,13129,4773,4345,91.0,118,86
Sassuolo,23,60.1,8.0,5708,644,1917,2870,1270,204,5364,82,123,66.7,90,2,3886,21890,12188,4594,4140,90.1,91,99
Juventus,25,58.4,7.0,5266,564,1830,2536,1206,228,4983,81,123,65.9,85,4,3488,19001,10219,4329,3978,91.9,71,70
Napoli,22,55.9,7.0,4930,408,1277,2522,1482,215,4591,75,118,63.6,78,6,3423,19043,10805,4011,3590,89.5,60,70
Milan,23,54.4,8.0,5163,527,1605,2529,1353,242,4806,83,129,64.3,84,1,3377,18945,10628,3992,3509,87.9,82,70
Atalanta,25,53.6,8.0,5570,417,1512,2696,1694,250,5276,103,144,71.5,107,6,3805,21102,10996,4428,3881,87.6,104,123
Fiorentina,23,53.3,8.0,5162,543,1546,2656,1289,178,4762,80,127,63.0,85,6,3563,20616,11270,3954,3555,89.9,86,157
Bologna,22,51.9,8.0,4903,586,1544,2330,1353,209,4508,115,161,71.4,123,4,3086,19303,10395,3576,3120,87.2,99,114
Lazio,25,51.3,8.0,5354,610,1708,2615,1362,196,4986,71,118,60.2,81,5,3397,20468,10955,4104,3613,88.0,109,103
Roma,22,49.0,8.0,5043,480,1457,2651,1303,237,4736,67,121,55.4,76,5,3301,21607,12015,3936,3512,89.2,78,57
Crotone,25,48.9,8.0,4936,630,1902,2240,1089,161,4534,69,119,58.0,74,6,3060,17388,9232,3716,3217,86.6,124,134
Spezia,32,48.8,8.0,4528,582,1578,2284,917,162,4203,63,92,68.5,67,5,2960,16601,8521,3520,3067,87.1,102,93
Hellas Verona,26,47.7,8.0,4443,513,1344,2243,1111,177,4063,67,111,60.4,73,5,2571,15851,9161,3075,2622,85.3,100,80
Genoa,27,46.8,8.0,4895,613,1894,2283,944,132,4519,67,116,57.8,69,2,3089,15252,8174,3691,3238,87.7,93,81
Torino,23,46.0,8.0,4658,638,1824,2135,964,136,4274,70,141,49.6,77,1,2955,16047,8600,3494,3081,88.2,82,91
Udinese,27,45.9,8.0,4478,449,1440,2155,1206,191,4127,73,111,65.8,76,0,2920,18316,10168,3354,2854,85.1,97,81
Benevento,21,43.4,8.0,4121,558,1578,1907,871,135,3739,43,78,55.1,47,1,2324,13624,7269,2906,2509,86.3,91,81
Cagliari,23,42.5,8.0,4454,580,1581,2087,1111,147,4083,92,137,67.2,93,1,2723,17405,9973,3349,2857,85.3,89,108
Sampdoria,24,42.4,8.0,4404,584,1588,1997,1070,132,4032,78,121,64.5,82,6,2676,14555,8137,3290,2689,81.7,96,71
Parma,27,42.1,8.0,4389,603,1825,2036,799,115,4013,69,109,63.3,72,2,2593,15534,9099,3298,2815,85.4,83,89
