,,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Dribbles,Dribbles,
Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist,Succ,Att,Match Report
2019-08-26,Mon,Matchweek 1,Home,W 4–0,Inter,Lecce,N,CM,25,0,1,0,0,0,0,0,0,24,10,1,0,0,0.0,0.0,0.0,1,1,20,20,100.0,136,22,39,0,0,Match Report
2019-09-01,Sun,Matchweek 2,Away,W 2–1,Inter,Cagliari,N,CM,22,0,0,0,0,0,0,0,0,21,2,1,0,0,0.0,0.0,0.0,0,0,17,19,89.5,100,13,33,0,1,Match Report
2019-09-14,Sat,Matchweek 3,Home,W 1–0,Inter,Udinese,Y,CM,45,0,0,0,0,1,0,1,0,49,5,0,0,0,0.0,0.0,0.0,2,0,39,43,90.7,302,36,62,0,1,Match Report
2019-09-21,Sat,Matchweek 4,Away,W 2–0,Inter,Milan,Y,CM,81,0,1,0,0,2,0,0,0,60,21,2,1,1,0.0,0.0,0.2,2,1,37,46,80.4,190,45,75,0,1,Match Report
2019-09-25,Wed,Matchweek 5,Home,W 1–0,Inter,Lazio,Y,DMCM,90,0,0,0,0,1,1,0,0,96,21,3,0,0,0.4,0.4,0.2,9,0,73,84,86.9,456,86,277,4,6,Match Report
2019-09-28,Sat,Matchweek 6,Away,W 3–1,Inter,Sampdoria,N,CM,26,0,0,0,0,0,0,0,0,16,11,1,0,1,0.0,0.0,0.0,0,0,8,9,88.9,25,12,17,1,1,Match Report
2019-10-06,Sun,Matchweek 7,Home,L 1–2,Inter,Juventus,Y,CM,90,0,0,0,0,1,0,1,0,66,20,2,2,0,0.0,0.0,0.0,0,0,39,52,75.0,252,51,145,2,4,Match Report
2019-10-20,Sun,Matchweek 8,Away,W 4–3,Inter,Sassuolo,Y,WB,90,0,0,0,0,0,0,0,0,57,23,3,0,0,0.0,0.0,0.0,1,1,31,41,75.6,131,50,135,1,6,Match Report
2019-10-26,Sat,Matchweek 9,Home,D 2–2,Inter,Parma,Y,CM,90,0,0,0,0,1,0,1,0,58,10,1,2,0,0.0,0.0,0.0,2,0,41,52,78.8,207,47,209,5,5,Match Report
2019-10-29,Tue,Matchweek 10,Away,W 2–1,Inter,Brescia,Y,CM,90,0,0,0,0,0,0,0,0,61,14,1,0,7,0.0,0.0,0.1,1,0,37,48,77.1,207,44,104,4,5,Match Report
