,,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,
Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Clr,Err,Match Report
2019-08-26,Mon,Matchweek 1,Home,W 4–0,Inter,Lecce,N,CM,25,1,0,0,0,1,0,0,,0,10,3,30.0,3,4,3,0,0,0,0,0,0,0,Match Report
2019-09-01,Sun,Matchweek 2,Away,W 2–1,Inter,Cagliari,N,CM,22,1,1,1,0,0,0,1,0.0,1,2,2,100.0,0,2,0,0,0,0,0,0,0,0,Match Report
2019-09-14,Sat,Matchweek 3,Home,W 1–0,Inter,Udinese,Y,CM,45,0,0,0,0,0,0,1,0.0,1,5,2,40.0,0,5,0,0,0,0,0,0,2,0,Match Report
2019-09-21,Sat,Matchweek 4,Away,W 2–0,Inter,Milan,Y,CM,81,2,1,0,2,0,2,5,40.0,3,21,5,23.8,4,12,5,1,0,0,1,1,1,0,Match Report
2019-09-25,Wed,Matchweek 5,Home,W 1–0,Inter,Lazio,Y,DMCM,90,3,2,0,3,0,0,5,0.0,5,21,5,23.8,4,16,1,0,0,0,0,0,0,0,Match Report
2019-09-28,Sat,Matchweek 6,Away,W 3–1,Inter,Sampdoria,N,CM,26,1,0,1,0,0,1,7,14.3,6,11,2,18.2,2,6,3,1,0,0,1,0,1,0,Match Report
2019-10-06,Sun,Matchweek 7,Home,L 1–2,Inter,Juventus,Y,CM,90,2,2,0,1,1,0,1,0.0,1,20,6,30.0,12,6,2,0,0,0,0,2,3,0,Match Report
2019-10-20,Sun,Matchweek 8,Away,W 4–3,Inter,Sassuolo,Y,WB,90,3,2,1,1,1,1,1,100.0,0,23,7,30.4,7,13,3,0,0,0,0,0,0,0,Match Report
2019-10-26,Sat,Matchweek 9,Home,D 2–2,Inter,Parma,Y,CM,90,1,1,1,0,0,0,0,,0,10,6,60.0,0,6,4,0,0,0,0,2,1,0,Match Report
