,,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,
Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Clr,Err,Match Report
2019-09-14,Sat,Matchweek 3,Away,D 0–0,Juventus,Fiorentina,N,CM,47,2,1,1,1,0,1,2,50.0,1,16,5,31.3,5,8,3,1,0,0,1,0,2,0,Match Report
2019-09-21,Sat,Matchweek 4,Home,W 2–1,Juventus,Hellas Verona,Y,DM,50,0,0,0,0,0,0,1,0.0,1,7,1,14.3,2,5,0,0,0,0,0,1,2,0,Match Report
2019-09-28,Sat,Matchweek 6,Home,W 2–0,Juventus,SPAL,N,CM,14,1,1,0,0,1,1,1,100.0,0,3,2,66.7,0,1,2,0,0,0,0,0,2,0,Match Report
2019-10-06,Sun,Matchweek 7,Away,W 2–1,Juventus,Inter,N,AMCM,29,0,0,0,0,0,0,0,,0,16,2,12.5,5,8,3,2,0,0,2,0,0,0,Match Report
2019-10-19,Sat,Matchweek 8,Home,W 2–1,Juventus,Bologna,N,CM,29,2,1,0,1,1,1,2,50.0,1,10,4,40.0,2,4,4,0,0,0,0,1,1,0,Match Report
2019-10-26,Sat,Matchweek 9,Away,D 1–1,Juventus,Lecce,Y,CMDM,90,6,5,3,2,1,1,2,50.0,1,29,14,48.3,7,11,11,0,0,0,0,2,1,0,Match Report
2019-10-30,Wed,Matchweek 10,Home,W 2–1,Juventus,Genoa,Y,DM,90,4,3,1,1,2,1,3,33.3,2,20,6,30.0,1,8,11,1,0,0,1,3,2,0,Match Report
2019-11-02,Sat,Matchweek 11,Away,W 1–0,Juventus,Torino,Y,CM,75,1,0,0,1,0,0,1,0.0,1,18,2,11.1,8,8,2,3,0,0,3,0,2,0,Match Report
2019-11-10,Sun,Matchweek 12,Home,W 1–0,Juventus,Milan,Y,CM,90,8,4,3,4,1,3,3,100.0,0,36,11,30.6,15,18,3,1,0,0,1,3,4,0,Match Report
