,,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,
Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
2019-09-14,Sat,Matchweek 3,Away,D 0–0,Juventus,Fiorentina,N,CM,47,20,23,87.0,443,110,0,1,0.0,15,17,88.2,5,5,100.0,0,0.0,0,5,1,0,1,Match Report
2019-09-21,Sat,Matchweek 4,Home,W 2–1,Juventus,Hellas Verona,Y,DM,50,26,30,86.7,421,79,0,0,,23,26,88.5,3,4,75.0,0,0.0,0,0,0,0,1,Match Report
2019-09-28,Sat,Matchweek 6,Home,W 2–0,Juventus,SPAL,N,CM,14,7,9,77.8,97,11,1,3,33.3,6,6,100.0,0,0,,0,0.0,0,0,0,0,1,Match Report
2019-10-06,Sun,Matchweek 7,Away,W 2–1,Juventus,Inter,N,AMCM,29,8,9,88.9,137,48,0,1,0.0,8,8,100.0,0,0,,1,0.3,1,0,1,0,1,Match Report
2019-10-19,Sat,Matchweek 8,Home,W 2–1,Juventus,Bologna,N,CM,29,26,28,92.9,422,54,1,1,100.0,23,24,95.8,2,3,66.7,0,0.0,0,2,0,0,1,Match Report
2019-10-26,Sat,Matchweek 9,Away,D 1–1,Juventus,Lecce,Y,CMDM,90,57,68,83.8,1011,214,2,3,66.7,46,50,92.0,9,15,60.0,0,0.2,4,5,1,1,5,Match Report
2019-10-30,Wed,Matchweek 10,Home,W 2–1,Juventus,Genoa,Y,DM,90,59,68,86.8,1008,356,0,3,0.0,51,54,94.4,8,11,72.7,1,0.3,4,3,2,0,8,Match Report
2019-11-02,Sat,Matchweek 11,Away,W 1–0,Juventus,Torino,Y,CM,75,32,35,91.4,612,242,0,0,,24,24,100.0,8,11,72.7,0,0.2,2,1,2,1,5,Match Report
2019-11-10,Sun,Matchweek 12,Home,W 1–0,Juventus,Milan,Y,CM,90,43,51,84.3,702,214,1,4,25.0,34,36,94.4,8,11,72.7,0,0.0,0,2,0,0,3,Match Report
2019-11-23,Sat,Matchweek 13,Away,W 3–1,Juventus,Atalanta,Y,CM,57,20,26,76.9,277,74,0,1,0.0,19,24,79.2,1,1,100.0,0,0.0,0,2,0,0,2,Match Report
