,,,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Dribbles,Dribbles,
Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist,Succ,Att,Match Report
2019-09-06,Fri,Friendlies (M),Friendlies (M),Away,W 2–1,uy Uruguay,cr Costa Rica,Y,AM,74,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2019-09-10,Tue,Friendlies (M),Friendlies (M),Away,D 1–1,uy Uruguay,us United States,Y,AM,82,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2019-09-14,Sat,Serie A,Matchweek 3,Away,D 0–0,Juventus,Fiorentina,N,CM,47,0,0,0,0,0,0,1,0,30,16,2,0,1,0.0,0.0,0.0,0,0,20,23,87.0,110,14,37,0,0,Match Report
2019-09-18,Wed,Champions Lg,Group stage,Away,D 2–2,it Juventus,es Atlético Madrid,N,CM,22,0,0,0,0,0,0,0,0,23,7,3,1,0,0.0,0.0,0.2,1,0,16,17,94.1,49,14,10,0,0,Match Report
2019-09-21,Sat,Serie A,Matchweek 4,Home,W 2–1,Juventus,Hellas Verona,Y,DM,50,0,0,0,0,0,0,0,0,35,7,0,1,0,0.0,0.0,0.0,1,0,26,30,86.7,79,21,24,0,0,Match Report
2019-09-28,Sat,Serie A,Matchweek 6,Home,W 2–0,Juventus,SPAL,N,CM,14,0,0,0,0,0,0,0,0,11,3,1,0,0,0.0,0.0,0.0,0,0,7,9,77.8,11,8,52,0,0,Match Report
2019-10-01,Tue,Champions Lg,Group stage,Home,W 3–0,it Juventus,de Leverkusen,N,CM,17,0,0,0,0,0,0,0,0,14,6,0,0,2,0.0,0.0,0.0,1,1,9,10,90.0,32,9,4,0,0,Match Report
2019-10-06,Sun,Serie A,Matchweek 7,Away,W 2–1,Juventus,Inter,N,AMCM,29,0,1,0,0,1,0,0,0,13,16,0,0,2,0.1,0.1,0.3,1,1,8,9,88.9,48,6,10,0,0,Match Report
2019-10-11,Fri,Friendlies (M),Friendlies (M),Home,W 1–0,uy Uruguay,pe Peru,N,,23,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,,Match Report
2019-10-15,Tue,Friendlies (M),Friendlies (M),Away,D 1–1,uy Uruguay,pe Peru,Y,DM,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
2019-10-19,Sat,Serie A,Matchweek 8,Home,W 2–1,Juventus,Bologna,N,CM,29,0,0,0,0,0,0,1,0,31,10,2,1,0,0.0,0.0,0.0,1,0,26,28,92.9,54,23,27,0,0,Match Report
2019-10-22,Tue,Champions Lg,Group stage,Home,W 2–1,it Juventus,ru Loko Moscow,Y,AMCM,90,0,0,0,0,1,0,0,0,85,20,4,1,1,0.0,0.0,0.1,2,0,63,74,85.1,124,64,134,3,5,Match Report
2019-10-26,Sat,Serie A,Matchweek 9,Away,D 1–1,Juventus,Lecce,Y,CMDM,90,0,0,0,0,1,0,0,0,80,29,6,2,0,0.0,0.0,0.2,4,0,57,68,83.8,214,58,120,1,1,Match Report
2019-10-30,Wed,Serie A,Matchweek 10,Home,W 2–1,Juventus,Genoa,Y,DM,90,0,1,0,0,1,0,1,0,78,20,4,3,1,0.0,0.0,0.3,5,1,59,68,86.8,356,52,113,1,1,Match Report
2019-11-02,Sat,Serie A,Matchweek 11,Away,W 1–0,Juventus,Torino,Y,CM,75,0,0,0,0,0,0,1,0,43,18,1,0,3,0.0,0.0,0.2,5,1,32,35,91.4,242,26,71,1,1,Match Report
2019-11-06,Wed,Champions Lg,Group stage,Away,W 2–1,it Juventus,ru Loko Moscow,N,CMAM,27,0,0,0,0,0,0,0,0,39,8,3,1,0,0.0,0.0,0.0,0,0,30,34,88.2,101,31,83,2,2,Match Report
2019-11-10,Sun,Serie A,Matchweek 12,Home,W 1–0,Juventus,Milan,Y,CM,90,0,0,0,0,0,0,0,0,70,36,8,3,1,0.0,0.0,0.0,2,0,43,51,84.3,214,42,91,1,1,Match Report
