,,,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Dribbles,Dribbles,
Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist,Succ,Att,Match Report
2019-08-24,Sat,Serie A,Matchweek 1,Away,W 1–0,Juventus,Parma,N,LW,8,0,0,0,0,0,0,1,0,4,5,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,4,36,0,0,Match Report
2019-09-05,Thu,Euro Qualifying,Group stage,Away,W 3–1,it Italy,am Armenia,Y,FW,82,0,0,0,0,3,2,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2019-09-08,Sun,Euro Qualifying,Group stage,Away,W 2–1,it Italy,fi Finland,N,RW,19,0,0,0,0,1,0,0,0,14,1,1,2,1,0.0,0.0,0.1,2,0,6,9,66.7,53,8,27,0,0,Match Report
2019-09-14,Sat,Serie A,Matchweek 3,Away,D 0–0,Juventus,Fiorentina,N,CM,83,0,0,0,0,2,1,0,0,38,15,0,0,5,0.1,0.1,0.0,2,0,20,24,83.3,56,31,65,2,3,Match Report
2019-09-24,Tue,Serie A,Matchweek 5,Away,W 2–1,Juventus,Brescia,N,AMFW,22,0,0,0,0,2,0,0,0,18,4,0,0,0,0.1,0.1,0.0,0,0,10,13,76.9,4,20,80,2,3,Match Report
2019-09-28,Sat,Serie A,Matchweek 6,Home,W 2–0,Juventus,SPAL,N,AM,26,0,0,0,0,2,0,0,0,23,14,0,0,0,0.1,0.1,0.0,3,0,16,17,94.1,68,17,68,1,1,Match Report
2019-10-01,Tue,Champions Lg,Group stage,Home,W 3–0,it Juventus,de Leverkusen,Y,AM,77,1,0,0,0,2,1,0,0,30,39,1,0,1,0.3,0.3,0.0,1,0,12,17,70.6,56,23,106,2,4,Match Report
2019-10-06,Sun,Serie A,Matchweek 7,Away,W 2–1,Juventus,Inter,Y,AM,61,0,0,0,0,1,1,0,0,22,16,0,0,1,0.1,0.1,0.1,1,0,10,15,66.7,53,15,6,0,0,Match Report
2019-10-12,Sat,Euro Qualifying,Group stage,Home,W 2–0,it Italy,gr Greece,N,RW,52,1,0,0,0,4,1,0,0,37,4,1,1,1,0.1,0.1,0.2,3,0,20,28,71.4,123,29,124,1,2,Match Report
2019-10-15,Tue,Euro Qualifying,Group stage,Away,W 5–0,it Italy,li Liechtenstein,Y,RW,73,1,0,0,0,5,3,0,0,61,6,0,0,1,0.4,0.4,0.1,3,0,40,49,81.6,214,48,43,1,3,Match Report
2019-10-19,Sat,Serie A,Matchweek 8,Home,W 2–1,Juventus,Bologna,Y,AM,90,0,0,0,0,3,1,0,0,66,12,0,0,0,0.1,0.1,0.2,5,0,43,54,79.6,249,51,186,2,3,Match Report
2019-10-22,Tue,Champions Lg,Group stage,Home,W 2–1,it Juventus,ru Loko Moscow,N,AM,10,0,0,0,0,1,1,0,0,14,1,0,0,0,0.0,0.0,0.2,2,0,12,13,92.3,52,10,44,0,0,Match Report
2019-10-26,Sat,Serie A,Matchweek 9,Away,D 1–1,Juventus,Lecce,Y,AM,90,0,0,0,0,5,0,1,0,51,12,1,0,0,0.7,0.7,0.5,5,0,31,41,75.6,117,38,97,1,2,Match Report
2019-10-30,Wed,Serie A,Matchweek 10,Home,W 2–1,Juventus,Genoa,Y,AM,78,0,0,0,0,4,2,0,0,49,21,0,1,1,0.1,0.1,0.1,6,0,36,39,92.3,159,39,50,1,2,Match Report
2019-11-02,Sat,Serie A,Matchweek 11,Away,W 1–0,Juventus,Torino,Y,AM,66,0,0,0,0,1,0,0,0,23,24,1,0,0,0.1,0.1,0.1,1,0,9,15,60.0,4,17,100,0,1,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-10,Sun,Serie A,Matchweek 12,Home,W 1–0,Juventus,Milan,Y,AM,60,0,0,0,0,2,0,0,0,42,21,1,0,0,0.1,0.1,0.0,2,0,25,33,75.8,97,31,94,1,2,Match Report
2019-11-15,Fri,Euro Qualifying,Group stage,Away,W 3–0,it Italy,ba Bosnia and Herzegovina,Y,RW,74,0,0,0,0,4,3,1,0,47,11,0,0,1,0.6,0.6,0.2,2,0,25,32,78.1,115,36,208,3,5,Match Report
2019-11-23,Sat,Serie A,Matchweek 13,Away,W 3–1,Juventus,Atalanta,Y,AM,25,0,0,0,0,1,0,0,0,19,6,0,0,0,0.1,0.1,0.1,2,0,10,10,100.0,41,16,56,2,4,Match Report
