,,,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Dribbles,Dribbles,
Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist,Succ,Att,Match Report
2019-08-24,Sat,Serie A,Matchweek 1,Away,W 1–0,Juventus,Parma,Y,CM,90,0,0,0,0,0,0,0,0,40,22,4,2,3,0.0,0.0,0.0,0,0,22,29,75.9,38,22,32,0,0,Match Report
2019-08-31,Sat,Serie A,Matchweek 2,Home,W 4–3,Juventus,Napoli,Y,CM,90,0,0,0,0,1,1,1,0,57,34,3,0,3,0.1,0.1,0.1,6,2,38,47,80.9,151,39,61,1,1,Match Report
2019-09-07,Sat,Euro Qualifying,Group stage,Home,W 4–1,fr France,al Albania,Y,DM,90,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2019-09-14,Sat,Serie A,Matchweek 3,Away,D 0–0,Juventus,Fiorentina,Y,CM,90,0,0,0,0,1,1,0,0,56,29,3,0,1,0.0,0.0,0.0,0,0,35,40,87.5,101,37,62,2,4,Match Report
2019-09-18,Wed,Champions Lg,Group stage,Away,D 2–2,it Juventus,es Atlético Madrid,Y,CM,90,1,0,0,0,3,1,1,0,58,8,0,1,0,0.7,0.7,0.0,0,0,46,50,92.0,114,37,111,0,0,Match Report
2019-09-21,Sat,Serie A,Matchweek 4,Home,W 2–1,Juventus,Hellas Verona,Y,CM,90,0,0,0,0,2,0,0,0,53,14,0,0,0,0.3,0.3,0.2,4,0,39,43,90.7,129,33,96,0,1,Match Report
2019-09-24,Tue,Serie A,Matchweek 5,Away,W 2–1,Juventus,Brescia,N,CM,11,0,0,0,0,0,0,0,0,11,7,1,0,2,0.0,0.0,0.0,0,0,7,7,100.0,29,6,12,0,0,Match Report
2019-09-28,Sat,Serie A,Matchweek 6,Home,W 2–0,Juventus,SPAL,Y,LB,90,0,0,0,0,0,0,0,0,94,17,3,1,1,0.0,0.0,0.0,0,0,73,84,86.9,451,63,141,0,0,Match Report
2019-10-01,Tue,Champions Lg,Group stage,Home,W 3–0,it Juventus,de Leverkusen,Y,CM,90,0,0,0,0,0,0,0,0,53,35,2,4,5,0.0,0.0,0.0,2,0,32,39,82.1,157,31,46,0,0,Match Report
