,,,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Dribbles,Dribbles,
Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist,Succ,Att,Match Report
2019-08-24,Sat,Serie A,Matchweek 1,Away,W 1–0,Juventus,Parma,Y,DM,90,0,0,0,0,1,1,1,0,107,14,5,3,2,0.0,0.0,0.1,4,0,83,96,86.5,408,69,232,3,3,Match Report
2019-08-31,Sat,Serie A,Matchweek 2,Home,W 4–3,Juventus,Napoli,Y,DM,90,0,0,0,0,0,0,0,0,66,20,2,3,2,0.0,0.0,0.0,2,1,50,58,86.2,315,43,52,0,1,Match Report
2019-09-05,Thu,Euro Qualifying,Group stage,Home,W 5–0,ba Bosnia and Herzegovina,li Liechtenstein,Y,CM,82,0,0,0,0,3,2,0,0,,,,2,,,,,,,,,,,,,,,Match Report
2019-09-08,Sun,Euro Qualifying,Group stage,Away,L 2–4,ba Bosnia and Herzegovina,am Armenia,Y,CM,90,0,0,0,0,2,0,1,0,,,,1,,,,,,,,,,,,,,,Match Report
2019-09-14,Sat,Serie A,Matchweek 3,Away,D 0–0,Juventus,Fiorentina,Y,CM,43,0,0,0,0,1,1,1,0,39,7,1,0,1,0.0,0.0,0.0,0,0,30,36,83.3,177,21,51,0,0,Match Report
2019-09-18,Wed,Champions Lg,Group stage,Away,D 2–2,it Juventus,es Atlético Madrid,Y,DM,86,0,0,0,0,1,0,0,0,86,16,2,1,1,0.0,0.0,0.0,1,0,72,78,92.3,339,50,102,0,1,Match Report
2019-09-21,Sat,Serie A,Matchweek 4,Home,W 2–1,Juventus,Hellas Verona,N,DM,40,0,0,0,0,1,0,0,0,27,6,1,0,0,0.0,0.0,0.0,1,0,21,24,87.5,132,14,12,0,0,Match Report
2019-09-24,Tue,Serie A,Matchweek 5,Away,W 2–1,Juventus,Brescia,Y,DM,90,1,0,0,0,2,1,0,0,123,17,0,1,2,0.1,0.1,0.0,5,0,111,116,95.7,701,87,125,1,1,Match Report
2019-09-28,Sat,Serie A,Matchweek 6,Home,W 2–0,Juventus,SPAL,Y,DM,90,1,0,0,0,1,1,0,0,130,16,0,3,2,0.0,0.0,0.2,7,1,109,123,88.6,655,85,170,1,1,Match Report
