,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Dribbles,Dribbles
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist,Succ,Att
Cristiano Ronaldo\Cristiano-Ronaldo,7,pt POR,FW,35-290,90,2,0,0,0,6,2,0,0,85,6,2,0,0,0.6,0.6,0.4,5,0,63,74,85.1,182,59,360,1,1
Álvaro Morata\Alvaro-Morata,9,es ESP,FW,28-029,68,0,1,0,0,2,0,0,0,38,17,2,1,1,0.3,0.3,0.1,3,1,19,25,76.0,48,25,106,1,2
Paulo Dybala\Paulo-Dybala,10,ar ARG,FW,27-006,22,0,0,0,0,2,0,0,0,31,4,1,0,1,0.2,0.2,0.0,0,0,23,25,92.0,92,22,92,0,1
Federico Bernardeschi\Federico-Bernardeschi,33,it ITA,LM,26-279,90,0,0,0,0,4,3,0,0,63,13,2,0,0,0.4,0.4,0.4,7,1,48,55,87.3,250,49,117,5,7
Dejan Kulusevski\Dejan-Kulusevski,44,se SWE,RM,20-210,85,0,0,0,0,4,0,0,0,55,19,2,2,0,0.3,0.3,0.1,6,0,35,40,87.5,145,39,158,1,1
Federico Chiesa\Federico-Chiesa,22,it ITA,RM,23-027,5,0,0,0,0,0,0,0,0,5,2,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,8,5,6,1,1
Adrien Rabiot\Adrien-Rabiot,25,fr FRA,DM,25-232,68,0,0,0,0,1,1,1,0,64,17,2,0,2,0.0,0.0,0.0,1,0,48,54,88.9,239,39,148,0,0
Weston McKennie\Weston-McKennie,14,us USA,DM,22-085,22,0,0,0,0,1,0,0,0,19,11,1,1,0,0.1,0.1,0.0,1,0,13,16,81.3,22,6,28,0,0
Arthur Melo\Arthur-Melo,5,br BRA,DM,24-101,84,0,0,0,0,0,0,1,0,103,14,3,4,0,0.0,0.0,0.0,1,0,96,100,96.0,490,79,71,1,2
Rodrigo Bentancur\Rodrigo-Bentancur,30,uy URU,DM,23-169,6,0,0,0,0,0,0,0,0,6,4,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,22,4,0,0,0
Danilo\Danilo,13,br BRA,LB,29-129,85,0,0,0,0,0,0,1,0,83,11,1,3,0,0.0,0.0,0.0,1,0,70,81,86.4,485,67,194,0,0
Alex Sandro\Alex-Sandro,12,br BRA,LB,29-300,5,0,0,0,0,0,0,0,0,9,2,1,0,0,0.0,0.0,0.0,1,0,6,8,75.0,23,7,10,0,0
Matthijs de Ligt\Matthijs-de-Ligt,4,nl NED,CB,21-101,90,0,0,0,0,1,0,0,0,82,7,3,0,2,0.1,0.1,0.0,1,0,68,75,90.7,433,53,99,0,0
Merih Demiral\Merih-Demiral,28,tr TUR,CB,22-261,90,0,1,0,0,2,0,0,0,95,4,2,0,0,0.2,0.2,0.0,2,1,88,89,98.9,456,66,167,0,0
Juan Cuadrado\Juan-Cuadrado,16,co COL,RB,32-179,90,0,0,0,0,1,0,0,0,119,14,3,1,2,0.0,0.0,0.5,8,0,96,106,90.6,731,80,254,2,4
Gianluigi Buffon\Gianluigi-Buffon,77,it ITA,GK,42-298,90,0,0,0,0,0,0,0,0,33,0,0,0,0,0.0,0.0,0.0,0,0,30,33,90.9,257,22,25,0,0
16 Players,,,,,990,2,2,0,0,24,6,3,0,890,145,25,12,8,2.2,2.2,1.6,37,3,712,791,90.0,3883,622,1835,12,19
