Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Dribbles,Dribbles
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist,Succ,Att
Cristiano Ronaldo\Cristiano-Ronaldo,7,pt POR,FW,35-304,90,0,0,0,0,3,0,0,0,50,7,0,0,1,0.1,0.1,0.3,5,0,26,37,70.3,112,38,247,3,4
Paulo Dybala\Paulo-Dybala,10,ar ARG,FW,27-020,89,0,0,0,0,3,1,0,0,54,13,1,0,0,0.4,0.4,0.2,6,0,36,49,73.5,164,30,79,0,0
Federico Bernardeschi\Federico-Bernardeschi,33,it ITA,LMFW,26-293,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,12,1,0,0,0
Federico Chiesa\Federico-Chiesa,22,it ITA,LM,23-041,90,0,0,0,0,2,1,0,0,58,24,3,1,2,0.1,0.1,0.0,1,0,29,45,64.4,115,43,215,1,3
Dejan Kulusevski\Dejan-Kulusevski,44,se SWE,RM,20-224,56,0,0,0,0,0,0,1,0,29,21,2,0,1,0.0,0.0,0.0,1,0,19,22,86.4,57,20,122,0,0
Aaron Ramsey\Aaron-Ramsey,8,wal WAL,RM,29-345,34,0,0,0,0,0,0,0,0,23,7,1,0,0,0.0,0.0,0.2,3,1,18,19,94.7,106,14,17,0,1
Adrien Rabiot\Adrien-Rabiot,25,fr FRA,DM,25-246,70,0,0,0,0,0,0,0,0,49,16,4,0,3,0.0,0.0,0.0,1,0,31,40,77.5,113,32,132,0,1
Weston McKennie\Weston-McKennie,14,us USA,DM,22-099,20,1,0,0,0,1,1,0,0,9,4,0,1,1,0.2,0.2,0.0,1,0,6,6,100.0,53,2,1,0,0
Rodrigo Bentancur\Rodrigo-Bentancur,30,uy URU,DM,23-183,90,0,0,0,0,1,0,0,0,98,22,4,2,5,0.0,0.0,0.1,3,1,75,86,87.2,454,65,147,2,2
Danilo\Danilo,13,br BRA,LB,29-143,70,0,0,0,0,0,0,0,0,75,4,0,0,0,0.0,0.0,0.0,1,0,66,75,88.0,351,54,161,0,0
Alex Sandro\Alex-Sandro,12,br BRA,LB,29-314,20,0,0,0,0,1,0,0,0,31,2,0,0,0,0.1,0.1,0.0,0,0,18,28,64.3,149,15,59,0,0
Leonardo Bonucci\Leonardo-Bonucci,19,it ITA,CB,33-218,90,1,0,0,0,4,1,0,0,78,5,0,0,0,0.6,0.6,0.0,0,0,68,74,91.9,491,58,241,0,0
Matthijs de Ligt\Matthijs-de-Ligt,4,nl NED,CB,21-115,90,0,0,0,0,0,0,1,0,65,7,0,0,0,0.0,0.0,0.0,0,0,58,61,95.1,281,37,101,0,0
Juan Cuadrado\Juan-Cuadrado,16,co COL,RB,32-193,90,0,2,0,0,2,0,1,0,100,12,1,1,1,0.0,0.0,0.6,4,2,79,91,86.8,418,71,187,4,4
Wojciech Szczęsny\Wojciech-Szczesny,1,pl POL,GK,30-231,90,0,0,0,0,0,0,0,0,24,0,0,0,0,0.0,0.0,0.0,0,0,20,22,90.9,238,11,24,0,0
Carlo Pinsoglio\Carlo-Pinsoglio,31,it ITA,GK,30-264,,0,0,0,0,0,0,0,1,,,,0,,,,,,,,,,,,,,
16 Players,,,,,990,2,2,0,0,17,4,3,1,745,145,16,5,14,1.5,1.5,1.5,26,4,551,657,83.9,3114,491,1733,10,15
