,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Atalanta,30,96,701,255,36.4,18.45,6.71,0.13,0.35,29,7,10,82.1,74.5,0.11,+13.9,+14.5
Bologna,31,48,544,163,30.0,14.32,4.29,0.08,0.26,28,5,6,53.2,48.7,0.09,-5.2,-5.7
Brescia,32,34,414,138,33.3,10.89,3.63,0.07,0.22,23,4,4,42.6,39.6,0.10,-8.6,-9.6
Cagliari,33,50,438,137,31.3,11.53,3.61,0.11,0.34,15,4,6,41.2,36.6,0.09,+8.8,+9.4
Fiorentina,33,49,543,169,31.1,14.29,4.45,0.07,0.24,23,9,11,54.5,46.6,0.09,-5.5,-6.6
Genoa,34,46,419,142,33.9,11.03,3.74,0.08,0.25,25,11,16,47.5,35.4,0.09,-1.5,-0.4
Hellas Verona,30,45,439,146,33.3,11.55,3.84,0.08,0.25,12,8,9,48.9,42.2,0.10,-3.9,-5.2
Inter,29,80,616,217,35.2,16.21,5.71,0.11,0.32,22,10,11,72.1,63.7,0.11,+7.9,+6.3
Juventus,30,73,667,222,33.3,17.55,5.84,0.09,0.27,38,13,14,68.9,58.3,0.09,+4.1,+1.7
Lazio,27,77,565,203,35.9,14.87,5.34,0.11,0.31,22,15,17,68.0,55.3,0.10,+9.0,+6.7
Lecce,30,52,511,163,31.9,13.45,4.29,0.08,0.25,16,11,15,53.8,43.0,0.09,-1.8,-2.0
Milan,32,60,611,188,30.8,16.08,4.95,0.09,0.28,24,8,9,60.1,53.5,0.09,-0.1,-1.5
Napoli,25,60,682,225,33.0,17.95,5.92,0.08,0.24,17,5,5,62.5,58.8,0.09,-2.5,-3.8
Parma,25,53,453,145,32.0,11.92,3.82,0.11,0.34,21,4,6,46.6,42.1,0.09,+6.4,+6.9
Roma,31,73,632,198,31.3,16.63,5.21,0.10,0.31,35,12,14,72.6,62.3,0.10,+0.4,-1.3
Sampdoria,31,48,550,161,29.3,14.47,4.24,0.07,0.24,23,9,12,51.2,42.1,0.08,-3.2,-3.1
Sassuolo,31,69,545,193,35.4,14.34,5.08,0.12,0.33,32,5,6,55.9,51.4,0.10,+13.1,+12.6
SPAL,34,27,457,114,24.9,12.03,3.00,0.05,0.19,17,5,7,39.0,33.7,0.08,-12.0,-11.7
Torino,27,44,437,139,31.8,11.50,3.66,0.08,0.27,19,7,8,42.3,37.1,0.09,+1.7,-0.1
Udinese,25,37,475,143,30.1,12.50,3.76,0.08,0.26,11,0,0,40.5,40.5,0.09,-3.5,-3.5
