,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Receiving,Receiving,Receiving,,
Squad,# Pl,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos
Atalanta,30,57.8,26357,2038,7049,12944,8153,1268,24559,410,697,58.8,440,32,18048,107606,57649,20463,18080,88.4,458,468
Bologna,31,52.9,22942,2524,7206,10874,6303,886,21030,428,720,59.4,461,22,14603,90218,49797,17123,14634,85.5,464,440
Brescia,32,40.3,19036,2728,7370,8129,4745,734,17022,320,517,61.9,342,15,11120,71961,39807,13481,11012,81.7,417,392
Cagliari,33,45.5,21166,2763,7688,9811,5141,655,19293,366,564,64.9,390,12,13348,83497,45388,15653,13302,85.0,414,445
Fiorentina,33,47.3,21656,2399,7027,10271,5861,979,19841,472,728,64.8,502,23,14059,89160,52017,16131,13789,85.5,463,466
Genoa,34,49.5,22396,2972,8104,10344,5265,761,20470,361,615,58.7,392,23,14382,81968,43216,16818,14406,85.7,427,434
Hellas Verona,30,49.8,21760,2507,6777,10796,5594,840,19880,376,619,60.7,404,25,13361,82835,44238,16184,13386,82.7,426,332
Inter,29,54.2,24871,2662,7964,11912,6605,1133,23147,333,524,63.5,360,11,16631,95547,53867,19769,17323,87.6,398,370
Juventus,30,58.3,27689,2192,6983,14382,8109,998,25947,440,688,64.0,470,20,18745,101093,55983,22471,20301,90.3,424,379
Lazio,27,50.5,23467,2634,7646,10923,6707,1058,21854,397,636,62.4,436,23,16153,105079,61406,18184,16036,88.2,429,372
Lecce,30,44.6,21337,2985,8158,9452,5167,824,19546,325,512,63.5,350,19,13326,83608,48026,15992,13757,86.0,380,365
Milan,32,55.1,25056,2452,7401,12420,6986,1067,23253,455,703,64.7,478,22,16900,99834,55548,19643,17281,88.0,438,447
Napoli,25,59.5,28332,2339,7684,14301,8295,1062,26555,392,631,62.1,416,36,20249,112412,64813,23536,21245,90.3,365,345
Parma,25,43.6,20215,2935,7596,9062,4847,833,18342,391,660,59.2,420,32,12220,78008,45383,14624,12330,84.3,491,397
Roma,31,52.9,23491,2441,7217,11606,6550,1103,21717,429,695,61.7,462,33,15560,108142,61403,18375,16108,87.7,435,360
Sampdoria,31,42.4,20183,2404,6584,9410,5492,776,18350,349,570,61.2,365,24,12230,73038,40477,14468,12021,83.1,386,382
Sassuolo,31,57.8,26144,2695,8001,13298,6689,948,24344,511,795,64.3,546,35,18372,109566,64497,20841,18700,89.7,401,462
SPAL,34,46.8,21112,2804,7530,9811,5115,706,19253,393,605,65.0,414,20,13430,80927,44155,15586,13451,86.3,400,416
Torino,27,47.5,21006,2680,7614,9564,5246,833,19100,496,783,63.3,529,15,13063,84966,47283,14983,12627,84.3,462,464
Udinese,25,44.7,21038,2619,7642,9704,5094,793,19331,365,608,60.0,394,18,13363,83422,47368,15709,13402,85.3,419,378
